Índice;;;;;;;;;;;;;;;
COD (NUTS2013);Designação;1º Quartil das vendas por m² de alojamentos familiares nos últimos 12 meses;;;;;Valor mediano das vendas por m² de alojamentos familiares nos últimos 12 meses;;;;;3º Quartil das vendas por m² de alojamentos familiares nos últimos 12 meses;;;
;;4ºT 2023;3ºT2023;2ºT2023;1ºT2023;;4ºT 2023;3ºT2023;2ºT2023;1ºT2023;;4ºT 2023;3ºT2023;2ºT2023;1ºT2023
185;Lezíria do Tejo;661;661;651;630;;1 061;1 032;996;968;;1 422;1 376;1 325;1 280
1851403;Almeirim;650;607;658;636;;908;890;917;859;;1 196;1 188;1 204;1 132
1851404;Alpiarça;638;632;632;444;;895;845;805;700;;1 152;1 070;992;907
1851103;Azambuja;712;750;671;726;;1 210;1 228;1 132;1 146;;1 570;1 527;1 451;1 455
1851405;Benavente;1 095;1 050;982;977;;1 354;1 312;1 253;1 222;;1 606;1 579;1 553;1 477
1851406;Cartaxo;780;728;684;667;;1 087;1 011;988;969;;1 366;1 278;1 238;1 218
1851407;Chamusca;351;370;372;364;;587;620;620;632;;891;876;888;891
1851409;Coruche;498;478;463;472;;889;871;866;865;;1 234;1 172;1 234;1 253
1851412;Golegã;424;454;478;496;;892;856;814;775;;1 094;1 053;1 044;1 000
1851414;Rio Maior;525;525;520;520;;855;887;852;884;;1 254;1 264;1 188;1 176
1851415;Salvaterra de Magos;879;855;816;847;;1 258;1 249;1 211;1 213;;1 573;1 540;1 474;1 465
1851416;Santarém;536;586;608;581;;985;983;974;927;;1 399;1 344;1 278;1 196
186;Alto Alentejo;267;266;260;262;;520;508;506;500;;875;879;863;856
1861201;Alter do Chão;313;284;193;250;;469;434;426;412;;703;625;549;552
1861202;Arronches;279;283;233;176;;388;392;444;416;;578;701;783;814
1861203;Avis;324;253;245;300;;603;532;490;496;;828;779;835;927
1861204;Campo Maior;243;183;208;208;;480;486;480;451;;784;817;744;760
1861205;Castelo de Vide;319;307;311;288;;529;483;505;486;;952;885;875;706
1861206;Crato;172;176;176;188;;331;326;326;335;;476;511;480;511
1861207;Elvas;284;294;294;294;;613;593;606;585;;990;995;921;903
1861208;Fronteira;330;280;272;260;;511;449;426;419;;786;692;777;782
1861209;Gavião;171;236;192;184;;400;453;381;381;;573;647;577;601
1861210;Marvão;256;242;239;238;;402;404;404;446;;688;608;608;755
1861211;Monforte;194;192;250;183;;504;413;504;400;;681;752;787;769
1861212;Nisa;215;209;183;178;;321;330;329;342;;600;567;625;563
1861213;Ponte de Sor;369;423;433;434;;718;742;738;730;;1 022;1 019;1 000;1 000
1861214;Portalegre;352;364;360;363;;723;721;705;707;;1 028;1 011;989;994
1861215;Sousel;244;167;185;205;;500;408;379;370;;802;700;661;623
187;Alentejo Central;534;526;531;519;;961;955;953;938;;1 667;1 645;1 600;1 520
1870701;Alandroal;256;241;316;332;;534;530;532;534;;800;825;792;799
1870702;Arraiolos;500;489;500;538;;855;724;686;707;;1 321;1 289;1 058;1 041
1870703;Borba;389;290;300;291;;658;572;593;588;;917;879;844;831
1870704;Estremoz;385;385;414;414;;704;736;764;762;;1 112;1 112;1 095;1 095
1870705;Évora;1 338;1 327;1 286;1 250;;1 864;1 874;1 809;1 723;;2 460;2 486;2 357;2 217
1870706;Montemor-o-Novo;727;683;641;593;;1 101;1 080;1 010;1 000;;1 510;1 483;1 374;1 273
1870707;Mora;422;380;348;314;;673;611;603;591;;996;978;1 046;925
